Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 11.91      0.10     0.10  7634242     0.00     0.00  BLL::Double::Double(BLL::Double const&)
 10.72      0.19     0.09  2847956     0.00     0.00  BLL::Double::adapt()
 10.72      0.28     0.09 12415365     0.00     0.00  BLL::Double::~Double()
  7.14      0.34     0.06  3964240     0.00     0.00  BLL::Double::Double()
  5.95      0.39     0.05  5810215     0.00     0.00  std::abs(double)
  5.95      0.44     0.05   893559     0.00     0.00  BLL::Double::operator*(BLL::Double)
  5.95      0.49     0.05        2    25.00   275.38  BLL::Zyklotron::calc()
  3.57      0.52     0.03   540038     0.00     0.00  BLL::Double::operator+(BLL::Double)
  3.57      0.55     0.03   270463     0.00     0.00  BLL::Double::operator-(BLL::Double)
  2.98      0.58     0.03  1998757     0.00     0.00  BLL::Double::operator=(BLL::Double const&)
  2.38      0.60     0.02   598178     0.00     0.00  BLL::Double::operator/(BLL::Double)
  2.38      0.62     0.02   453274     0.00     0.00  BLL::Window::getGraph(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  2.38      0.64     0.02        1    20.00   198.64  BLL::Zyklotron::run()::{lambda()#1}::operator()() const
  1.79      0.65     0.02  1823148     0.00     0.00  __gnu_cxx::__enable_if<std::__is_char<char>::__value, bool>::__type std::operator==<char>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  1.79      0.67     0.02   170813     0.00     0.00  boost::condition_variable::notify_all()
  1.19      0.68     0.01  2534585     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_range_check(unsigned long) const
  1.19      0.69     0.01  2329840     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::size() const
  1.19      0.70     0.01   461179     0.00     0.00  BLL::Double::Double(double, double)
  1.19      0.71     0.01   411929     0.00     0.00  std::vector<BLL::Point, std::allocator<BLL::Point> >::size() const
  1.19      0.72     0.01   371695     0.00     0.00  boost::mutex::lock()
  1.19      0.73     0.01   262645     0.00     0.00  BLL::ZyklotronParts::ZykSet::~ZykSet()
  1.19      0.74     0.01   126383     0.00     0.00  std::vector<BLL::Point, std::allocator<BLL::Point> >::at(unsigned long)
  1.19      0.75     0.01   110628     0.00     0.00  BLL::ZyklotronParts::ZykSet::ZykSet()
